Filas: 10
Columnas: 10
Minas: 2
Casilla A1: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla I4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla J4: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla A5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla C5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla D5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 1
Casilla E5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J5: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J6: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J7: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J8: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J9: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla A10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla B10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla C10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla D10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla E10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla F10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla G10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla H10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla I10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
Casilla J10: Mina: false, Revelada: true, Bandera: false, Minas Adyacentes: 0
